"ID";NAME;TRADEDATE;OPEN;HIGH;LOW;CLOSE;VALUE;DURATION;YIELD
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-05-25;2138.67;2138.67;2138.67;2138.67;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-05-26;2133.84;2133.84;2133.84;2133.84;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-05-27;2146.14;2146.14;2146.14;2146.14;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-05-28;2141.8;2141.8;2141.8;2141.8;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-05-29;2079.22;2079.22;2079.22;2079.22;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-06-01;2089.48;2089.48;2089.48;2089.48;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-06-02;2123.69;2123.69;2123.69;2123.69;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-06-03;2104.9;2104.9;2104.9;2104.9;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-06-04;2118.12;2118.12;2118.12;2118.12;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-06-05;2136.22;2136.22;2136.22;2136.22;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-06-08;2129.53;2129.53;2129.53;2129.53;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-06-09;2151.67;2151.67;2151.67;2151.67;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-06-10;2137.55;2137.55;2137.55;2137.55;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-06-11;2137.85;2137.85;2137.85;2137.85;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-06-15;2145.13;2145.13;2145.13;2145.13;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-06-16;2160.05;2160.05;2160.05;2160.05;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-06-17;2154.67;2154.67;2154.67;2154.67;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-06-18;2150.79;2150.79;2150.79;2150.79;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-06-19;2154.53;2154.53;2154.53;2154.53;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-06-22;2165.89;2165.89;2165.89;2165.89;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-06-23;2147.02;2147.02;2147.02;2147.02;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-06-24;2140.05;2140.05;2140.05;2140.05;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-06-25;2114.32;2114.32;2114.32;2114.32;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-06-26;2133.91;2133.91;2133.91;2133.91;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-06-29;2121.56;2121.56;2121.56;2121.56;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-06-30;2147.02;2147.02;2147.02;2147.02;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-07-01;2127.75;2127.75;2127.75;2127.75;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-07-02;2130.31;2130.31;2130.31;2130.31;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-07-03;2119.74;2119.74;2119.74;2119.74;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-07-06;2113.19;2113.19;2113.19;2113.19;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-07-07;2103.9;2103.9;2103.9;2103.9;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-07-08;2078.95;2078.95;2078.95;2078.95;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-07-09;2104.48;2104.48;2104.48;2104.48;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-07-10;2117.15;2117.15;2117.15;2117.15;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-07-13;2152.13;2152.13;2152.13;2152.13;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-07-14;2160.62;2160.62;2160.62;2160.62;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-07-15;2184.48;2184.48;2184.48;2184.48;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-07-16;2200.79;2200.79;2200.79;2200.79;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-07-17;2197.78;2197.78;2197.78;2197.78;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-07-20;2166.72;2166.72;2166.72;2166.72;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-07-21;2178.61;2178.61;2178.61;2178.61;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-07-22;2178.53;2178.53;2178.53;2178.53;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-07-23;2152.91;2152.91;2152.91;2152.91;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-07-24;2125.56;2125.56;2125.56;2125.56;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-07-27;2111.32;2111.32;2111.32;2111.32;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-07-28;2137.4;2137.4;2137.4;2137.4;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-07-29;2161.14;2161.14;2161.14;2161.14;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-07-30;2180.32;2180.32;2180.32;2180.32;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-07-31;2223.33;2223.33;2223.33;2223.33;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-08-03;2216.32;2216.32;2216.32;2216.32;0;;
