"ID";NAME;TRADEDATE;OPEN;HIGH;LOW;CLOSE;VALUE;DURATION;YIELD
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-04-20;16440.22;16440.22;16440.22;16440.22;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-04-21;16551.91;16551.91;16551.91;16551.91;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-04-24;16857.16;16857.16;16857.16;16857.16;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-04-25;17017.84;17017.84;17017.84;17017.84;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-04-26;17264.81;17264.81;17264.81;17264.81;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-04-27;17102.59;17102.59;17102.59;17102.59;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-04-28;17150.84;17150.84;17150.84;17150.84;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-05-02;17226.73;17226.73;17226.73;17226.73;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-05-03;16982.21;16982.21;16982.21;16982.21;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-05-04;17019.33;17019.33;17019.33;17019.33;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-05-05;17056.15;17056.15;17056.15;17056.15;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-05-10;17282.12;17282.12;17282.12;17282.12;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-05-11;17066.06;17066.06;17066.06;17066.06;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-05-12;16988.85;16988.85;16988.85;16988.85;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-05-15;17108.43;17108.43;17108.43;17108.43;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-05-16;17007.75;17007.75;17007.75;17007.75;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-05-17;17016.13;17016.13;17016.13;17016.13;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-05-18;16770.27;16770.27;16770.27;16770.27;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-05-19;16709.33;16709.33;16709.33;16709.33;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-05-22;16613.75;16613.75;16613.75;16613.75;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-05-23;16678.77;16678.77;16678.77;16678.77;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-05-24;16602.08;16602.08;16602.08;16602.08;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-05-25;16561.98;16561.98;16561.98;16561.98;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-05-26;16435.21;16435.21;16435.21;16435.21;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-05-29;16521.48;16521.48;16521.48;16521.48;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-05-30;16450.74;16450.74;16450.74;16450.74;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-05-31;16130.22;16130.22;16130.22;16130.22;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-06-01;15839.88;15839.88;15839.88;15839.88;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-06-02;15965.44;15965.44;15965.44;15965.44;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-06-05;15921.72;15921.72;15921.72;15921.72;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-06-06;15845.83;15845.83;15845.83;15845.83;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-06-07;15843.09;15843.09;15843.09;15843.09;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-06-08;15914.03;15914.03;15914.03;15914.03;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-06-09;15997.97;15997.97;15997.97;15997.97;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-06-13;16032.92;16032.92;16032.92;16032.92;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-06-14;15729.65;15729.65;15729.65;15729.65;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-06-15;15568.84;15568.84;15568.84;15568.84;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-06-16;15615.26;15615.26;15615.26;15615.26;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-06-19;15895.86;15895.86;15895.86;15895.86;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-06-20;15961.8;15961.8;15961.8;15961.8;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-06-21;15878.27;15878.27;15878.27;15878.27;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-06-22;15993.1;15993.1;15993.1;15993.1;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-06-23;16045.92;16045.92;16045.92;16045.92;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-06-26;15994.11;15994.11;15994.11;15994.11;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-06-27;16182.48;16182.48;16182.48;16182.48;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-06-28;16295.26;16295.26;16295.26;16295.26;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-06-29;16193.88;16193.88;16193.88;16193.88;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-06-30;16182.99;16182.99;16182.99;16182.99;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-07-03;16406.65;16406.65;16406.65;16406.65;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-07-04;16532.01;16532.01;16532.01;16532.01;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-07-05;16547.26;16547.26;16547.26;16547.26;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-07-06;16707.35;16707.35;16707.35;16707.35;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-07-07;16633.27;16633.27;16633.27;16633.27;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-07-10;16748.33;16748.33;16748.33;16748.33;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-07-11;16848.09;16848.09;16848.09;16848.09;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-07-12;17001.33;17001.33;17001.33;17001.33;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-07-13;17016.34;17016.34;17016.34;17016.34;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-07-14;17036.89;17036.89;17036.89;17036.89;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-07-17;17014.5;17014.5;17014.5;17014.5;0;;
